"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description","gene_biotype","Status","Regulated_Biotype"
"ENSG00000001626",256.09165709622,1.20285853549292,0.215153608251175,5.59069655057178,2.26160518480423e-08,9.63276282416617e-08,"CFTR","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000005187",146.235268525907,1.209466907631,0.120155536412985,10.0658441861052,7.82134233319178e-24,2.37557504535351e-22,"ACSM3","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000005381",47.82750387434,1.96849962400187,0.230823580123068,8.52815653821988,1.48698238598743e-17,2.23121410805783e-16,"MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000005961",60.8103569813921,1.98055588603796,0.184973233577327,10.7072566540283,9.41093085479267e-27,3.78068462206537e-25,"ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000007038",48.9517314626034,1.66628631436378,0.203427277808444,8.19106627348581,2.58921959386537e-16,3.30564348996456e-15,"PRSS21","serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000007402",1150.1618668589,1.79069450791749,0.215277775032075,8.3180649170621,8.9411040405129e-17,1.21568350514735e-15,"CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000008438",10.5828423979877,1.76788968471444,0.31651404849484,5.585501474963,2.33026810184906e-08,9.91680478936612e-08,"PGLYRP1","peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000008516",318.508534707591,1.10666844781109,0.242074731228783,4.57159837457459,4.84017963781763e-06,1.46479120618165e-05,"MMP25","matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000008853",1981.37918335723,1.27424106085539,0.143887374966678,8.85582255670784,8.30689362413312e-19,1.43020974225789e-17,"RHOBTB2","Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000013588",4718.87109201558,1.06509875967107,0.176242710368888,6.04336348120013,1.50934093119295e-09,7.77109402885227e-09,"GPRC5A","G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000014257",66.525258614517,1.38321362436866,0.129392203687683,10.6900847574043,1.13267421808162e-26,4.51421616280411e-25,"ACP3","acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000025423",287.765554426019,2.2906427374076,0.173360597709541,13.21316820357,7.36576909617575e-40,1.12086173165543e-37,"HSD17B6","hydroxysteroid 17-beta dehydrogenase 6 [Source:HGNC Symbol;Acc:HGNC:23316]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000035664",505.041407472222,1.20014815332205,0.153447757135423,7.82121665201583,5.23152160580064e-15,5.63351486714701e-14,"DAPK2","death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000047936",927.654489499011,1.13203860140289,0.18989048983515,5.96153394720108,2.49880990036441e-09,1.23586904625705e-08,"ROS1","ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000052802",870.681289824121,1.39818573450804,0.144651342600373,9.66590222650605,4.20894659616003e-22,1.08020068945742e-20,"MSMO1","methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000055813",69.9329581676244,1.12709569727138,0.162121532714852,6.95216531941981,3.59721492046503e-12,2.6988069111955e-11,"CCDC85A","coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000056736",101.691714709773,1.1882097054664,0.143039685027372,8.30685348082958,9.82731695403464e-17,1.32898141752722e-15,"IL17RB","interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000058335",294.127018138634,1.51324786623673,0.174089615823022,8.69234996632472,3.55018501836523e-18,5.68369153046463e-17,"RASGRF1","Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000064886",818.357686729623,2.4479052388713,0.213082226267979,11.4880780145066,1.51443843564908e-30,8.7413850701354e-29,"CHI3L2","chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]","protein_coding","Upregulated","Upregulated_protein_coding"
"ENSG00000066405",2766.8229475285,1.80552557691134,0.321783122184561,5.61100148650981,2.01159036917873e-08,8.65598655003645e-08,"CLDN18","claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]","protein_coding","Upregulated","Upregulated_protein_coding"
